English|Sanskrit
Narada was the best among the munis.|मुनीषु उत्तमः नारदः अस्ति।
Always undergoing penance.|सदा तपः कुर्वन् अस्ति।
He was eloquent too.|वाक्पटुः अपि सः।
The ascetic Valmiki asked Narada thus - |तं नारदं तपस्वी वाल्मीकिः पृष्टवान् यत् -
Who indeed is virtuous in this world now?|<अधुना अस्मिन् लोके गुणवान् कः एव?
Who indeed is brave?|वीर्यवान् कः एव?
Who indeed knows Dharma?|धर्मं जानाति कः एव?
Who indeed is grateful?|कृतज्ञः कः एव?
Who indeed always speaks the truth?|सदा सत्यं वदति कः एव?
Who indeed fulfils his vows strictly?|दृढतया व्रतानां पालनं कुर्वन् नरः कः एव?>
Who indeed has good conduct?|<चारित्रेण युक्तः कः एव?
Who indeed benefits all living beings?|सर्वेषां जीवानां हितं करोति कः एव?
Who indeed is a scholar?|विद्वान् कः एव?
Who indeed is capable?|समर्थः कः एव?
Who indeed is the one whose appearance alone is pleasing to all?|यस्य दर्शन-मात्रेण सर्वाः रमन्ते सः कः एव?
Who indeed has self-restraint?|<आत्मसंयमेन युक्तः कः एव?
Who indeed has conquered anger?|क्रोधे जयं लब्धवान् कः एव?
Who indeed has splendour?|दीप्त्या युक्तः कः एव?
Who indeed has no jealousy?|असूयां विना कः एव?
Who indeed is he whose wrath in battle fear even the gods?|युद्धे यस्य रोषस्य देवाः अपि बिभ्यति सः कः एव?>
I want to hear this.|<एतत् श्रोतुम् इच्छामि अहम्।
I am really curious Oh Maharishi|मम कौतूहलम् परम् अस्ति, महर्षे।
You indeed know such a man|भवान् एव जानाति ईदृशं नरम्।>
Narada heard these words of Valmiki.|वाल्मीकेः एतत् वचनम् अशृणोत् नारदः।
Valmiki offered Narada a seat.|वाल्मीकिः नारादाय आसनं दत्तवान्।
Maharshi Narada knew the three worlds.|महर्षिः नारदः तु त्रीन् लोकान् जानाति।
Happily Narada said, "Listen".|हर्षेण नारदः "श्रूयताम्" इति उक्तवान्।
And so Narada started narrating the story.|अतः नारदः कथा श्रावयितुम् आरब्धवान्।
